input,label
Problem: 6/18 x 2/5 | Student Answer: 1/3,conv-a
Problem: 7/10 ÷ 1/2 | Student Answer: 1 1/5,a
Problem: 4 4/13 x 3/20 | Student Answer: 4 4/13,conv-a
Problem: 4 4/13 x 3/20 | Student Answer: 28 28/39,conv-b
Problem: 4 4/13 x 3/20 | Student Answer: 2 211/260,conv-c
Problem: 4 4/13 x 3/20 | Student Answer: 1 20/33,conv-d
Problem: 4 4/13 x 3/20 | Student Answer: -42/65,po-a
Problem: 4 4/13 x 3/20 | Student Answer: 1 23/42,po-b
Problem: 4 4/13 x 3/20 | Student Answer: -7 4/7,po-c
Problem: 4 4/13 x 3/20 | Student Answer: 59/260,po-d
Problem: 4 4/13 x 3/20 | Student Answer: 5 1/11,pf-a
Problem: 4 4/13 x 3/20 | Student Answer: 12 12/13,pf-b
Problem: 4 4/13 x 3/20 | Student Answer: 59/260,pf-c
Problem: 4 4/13 x 3/20 | Student Answer: 1 23/33,pf-d
Problem: 4 4/13 x 3/20 | Student Answer: -8 3/7,pf-e
Problem: 4 4/13 x 3/20 | Student Answer: 1 19/65,a
Problem: 1/12 - 7/10 | Student Answer: 91/120,conv-a
Problem: 1/12 - 7/10 | Student Answer: 7/10,conv-b
Problem: 1/12 - 7/10 | Student Answer: 19/120,conv-c
Problem: 1/12 - 7/10 | Student Answer: -3/1,conv-d
Problem: 1/12 - 7/10 | Student Answer: 37/60,po-a
Problem: 1/12 - 7/10 | Student Answer: -1 23/37,po-b
Problem: 1/12 - 7/10 | Student Answer: 7/120,po-c
Problem: 1/12 - 7/10 | Student Answer: 1/15,po-d
Problem: 1/12 - 7/10 | Student Answer: 4/1,pf-a
Problem: 1/12 - 7/10 | Student Answer: 4/5,pf-b
Problem: 1/12 - 7/10 | Student Answer: 7/22,pf-c
Problem: 1/12 - 7/10 | Student Answer: -1/2,pf-d
Problem: 1/12 - 7/10 | Student Answer: -1/20,pf-e
Problem: 1/12 - 7/10 | Student Answer: -3/5,a
Problem: 3 9/17 x 3/18 | Student Answer: 1 4/5,conv-a
Problem: 3 9/17 x 3/18 | Student Answer: 21 3/17,conv-b
Problem: 3 9/17 x 3/18 | Student Answer: 3 35/102,conv-c
Problem: 3 9/17 x 3/18 | Student Answer: 1 22/35,conv-d
Problem: 3 9/17 x 3/18 | Student Answer: -10/17,po-a
Problem: 3 9/17 x 3/18 | Student Answer: 1 7/10,po-b
Problem: 3 9/17 x 3/18 | Student Answer: -57/1,po-c
Problem: 3 9/17 x 3/18 | Student Answer: 7/34,po-d
Problem: 3 9/17 x 3/18 | Student Answer: 5 1/7,pf-a
Problem: 3 9/17 x 3/18 | Student Answer: 10 10/17,pf-b
Problem: 3 9/17 x 3/18 | Student Answer: 7/34,pf-c
Problem: 3 9/17 x 3/18 | Student Answer: 1 5/7,pf-d
Problem: 3 9/17 x 3/18 | Student Answer: -63/1,pf-e
Problem: 3 9/17 x 3/18 | Student Answer: 1 3/17,a
Problem: 10/11 ÷ 4 2/4 | Student Answer: 1 13/15,conv-a
Problem: 10/11 ÷ 4 2/4 | Student Answer: 4 1/11,conv-b
Problem: 10/11 ÷ 4 2/4 | Student Answer: 2 10/11,conv-c
Problem: 10/11 ÷ 4 2/4 | Student Answer: -8/15,conv-d
Problem: 10/11 ÷ 4 2/4 | Student Answer: -20/99,po-a
Problem: 10/11 ÷ 4 2/4 | Student Answer: 4 19/20,po-b
Problem: 10/11 ÷ 4 2/4 | Student Answer: 1 13/15,po-c
Problem: 10/11 ÷ 4 2/4 | Student Answer: 20/99,po-d
Problem: 10/11 ÷ 4 2/4 | Student Answer: 12/1,pf-a
Problem: 10/11 ÷ 4 2/4 | Student Answer: 16 4/11,pf-b
Problem: 10/11 ÷ 4 2/4 | Student Answer: 7/11,pf-c
Problem: 10/11 ÷ 4 2/4 | Student Answer: 2/3,pf-d
Problem: 10/11 ÷ 4 2/4 | Student Answer: 4/1,pf-e
Problem: 10/11 ÷ 4 2/4 | Student Answer: 40/99,a
Problem: 5 1/5 + 4 6/11 | Student Answer: 5 1/5,conv-a
Problem: 5 1/5 + 4 6/11 | Student Answer: 5 1/5,conv-b
Problem: 5 1/5 + 4 6/11 | Student Answer: 5 1/16,conv-c
Problem: 5 1/5 + 4 6/11 | Student Answer: -1 1/2,conv-d
Problem: 5 1/5 + 4 6/11 | Student Answer: -9 41/55,po-a
Problem: 5 1/5 + 4 6/11 | Student Answer: 55/536,po-b
Problem: 5 1/5 + 4 6/11 | Student Answer: 23 7/11,po-c
Problem: 5 1/5 + 4 6/11 | Student Answer: 1 21/55,po-d
Problem: 5 1/5 + 4 6/11 | Student Answer: 167 1/5,pf-a
Problem: 5 1/5 + 4 6/11 | Student Answer: 6 10/11,pf-b
Problem: 5 1/5 + 4 6/11 | Student Answer: 143/400,pf-c
Problem: 5 1/5 + 4 6/11 | Student Answer: 260/1,pf-d
Problem: 5 1/5 + 4 6/11 | Student Answer: -12 2/3,pf-e
Problem: 5 1/5 + 4 6/11 | Student Answer: 19 27/55,a
Problem: 3 1/3 ÷ 3/7 | Student Answer: 1 3/10,conv-a
Problem: 3 1/3 ÷ 3/7 | Student Answer: 1 3/7,conv-b
Problem: 3 1/3 ÷ 3/7 | Student Answer: 1 6/7,conv-c
Problem: 3 1/3 ÷ 3/7 | Student Answer: 7/10,conv-d
Problem: 3 1/3 ÷ 3/7 | Student Answer: -7 7/9,po-a
Problem: 3 1/3 ÷ 3/7 | Student Answer: 9/70,po-b
Problem: 3 1/3 ÷ 3/7 | Student Answer: 1 3/10,po-c
Problem: 3 1/3 ÷ 3/7 | Student Answer: 7 7/9,po-d
Problem: 3 1/3 ÷ 3/7 | Student Answer: 3/1,pf-a
Problem: 3 1/3 ÷ 3/7 | Student Answer: 10/1,pf-b
Problem: 3 1/3 ÷ 3/7 | Student Answer: 13/21,pf-c
Problem: 3 1/3 ÷ 3/7 | Student Answer: 1/1,pf-d
Problem: 3 1/3 ÷ 3/7 | Student Answer: -3 1/4,pf-e
Problem: 3 1/3 ÷ 3/7 | Student Answer: 15 5/9,a
Problem: 1/3 - 3 10/17 | Student Answer: 1 10/51,conv-a
Problem: 1/3 - 3 10/17 | Student Answer: 4/1,conv-b
Problem: 1/3 - 3 10/17 | Student Answer: 1 13/51,conv-c
Problem: 1/3 - 3 10/17 | Student Answer: 4 2/7,conv-d
Problem: 1/3 - 3 10/17 | Student Answer: 3 13/51,po-a
Problem: 1/3 - 3 10/17 | Student Answer: -51/166,po-b
Problem: 1/3 - 3 10/17 | Student Answer: 1 10/51,po-c
Problem: 1/3 - 3 10/17 | Student Answer: 1 11/51,po-d
Problem: 1/3 - 3 10/17 | Student Answer: 3 1/10,pf-a
Problem: 1/3 - 3 10/17 | Student Answer: 20 2/3,pf-b
Problem: 1/3 - 3 10/17 | Student Answer: -3/1,pf-c
Problem: 1/3 - 3 10/17 | Student Answer: 3 11/17,pf-d
Problem: 1/3 - 3 10/17 | Student Answer: -1 3/17,pf-e
Problem: 1/3 - 3 10/17 | Student Answer: -3 14/51,a
Problem: 2/18 ÷ 2/5 | Student Answer: 1/9,conv-a
Problem: 2/18 ÷ 2/5 | Student Answer: 2/45,conv-b
Problem: 2/18 ÷ 2/5 | Student Answer: 4/9,conv-c
Problem: 2/18 ÷ 2/5 | Student Answer: 0/1,conv-d
Problem: 2/18 ÷ 2/5 | Student Answer: -5/18,po-a
Problem: 2/18 ÷ 2/5 | Student Answer: 3 3/5,po-b
Problem: 2/18 ÷ 2/5 | Student Answer: 4/23,po-c
Problem: 2/18 ÷ 2/5 | Student Answer: 5/18,po-d
Problem: 2/18 ÷ 2/5 | Student Answer: 4/23,pf-a
Problem: 2/18 ÷ 2/5 | Student Answer: 2/9,pf-b
Problem: 2/18 ÷ 2/5 | Student Answer: 2/45,pf-c
Problem: 2/18 ÷ 2/5 | Student Answer: 2/23,pf-d
Problem: 2/18 ÷ 2/5 | Student Answer: 4/13,pf-e
Problem: 2/18 ÷ 2/5 | Student Answer: 1/3,a
Problem: 5/19 + 1/11 | Student Answer: 24/209,conv-a
Problem: 5/19 + 1/11 | Student Answer: 19 1/5,conv-b
Problem: 5/19 + 1/11 | Student Answer: 24/209,conv-c
Problem: 5/19 + 1/11 | Student Answer: 2/15,conv-d
Problem: 5/19 + 1/11 | Student Answer: -74/209,po-a
Problem: 5/19 + 1/11 | Student Answer: 2 61/74,po-b
Problem: 5/19 + 1/11 | Student Answer: 5/209,po-c
Problem: 5/19 + 1/11 | Student Answer: 6/209,po-d
Problem: 5/19 + 1/11 | Student Answer: 1/5,pf-a
Problem: 5/19 + 1/11 | Student Answer: 6/11,pf-b
Problem: 5/19 + 1/11 | Student Answer: 2/15,pf-c
Problem: 5/19 + 1/11 | Student Answer: 5/19,pf-d
Problem: 5/19 + 1/11 | Student Answer: 3/4,pf-e
Problem: 5/19 + 1/11 | Student Answer: 75/209,a
Problem: 5 7/13 ÷ 1/13 | Student Answer: 5 7/13,conv-a
Problem: 5 7/13 ÷ 1/13 | Student Answer: 72/169,conv-b
Problem: 5 7/13 ÷ 1/13 | Student Answer: 3 4/13,conv-c
Problem: 5 7/13 ÷ 1/13 | Student Answer: 2 19/26,conv-d
Problem: 5 7/13 ÷ 1/13 | Student Answer: -72/1,po-a
Problem: 5 7/13 ÷ 1/13 | Student Answer: 1/72,po-b
Problem: 5 7/13 ÷ 1/13 | Student Answer: 2 21/26,po-c
Problem: 5 7/13 ÷ 1/13 | Student Answer: 72/1,po-d
Problem: 5 7/13 ÷ 1/13 | Student Answer: 2 10/13,pf-a
Problem: 5 7/13 ÷ 1/13 | Student Answer: 5 7/13,pf-b
Problem: 5 7/13 ÷ 1/13 | Student Answer: 73/169,pf-c
Problem: 5 7/13 ÷ 1/13 | Student Answer: 2 10/13,pf-d
Problem: 5 7/13 ÷ 1/13 | Student Answer: 73/1,pf-e
Problem: 5 7/13 ÷ 1/13 | Student Answer: 71/1,a
Problem: 4/7 ÷ 1/12 | Student Answer: 5/19,conv-a
Problem: 4/7 ÷ 1/12 | Student Answer: 1/21,conv-b
Problem: 4/7 ÷ 1/12 | Student Answer: 12/19,conv-c
Problem: 4/7 ÷ 1/12 | Student Answer: 3/19,conv-d
Problem: 4/7 ÷ 1/12 | Student Answer: -6 6/7,po-a
Problem: 4/7 ÷ 1/12 | Student Answer: 7/48,po-b
Problem: 4/7 ÷ 1/12 | Student Answer: 5/19,po-c
Problem: 4/7 ÷ 1/12 | Student Answer: 6 6/7,po-d
Problem: 4/7 ÷ 1/12 | Student Answer: 4/19,pf-a
Problem: 4/7 ÷ 1/12 | Student Answer: 4/7,pf-b
Problem: 4/7 ÷ 1/12 | Student Answer: 5/84,pf-c
Problem: 4/7 ÷ 1/12 | Student Answer: 4/19,pf-d
Problem: 4/7 ÷ 1/12 | Student Answer: -1/1,pf-e
Problem: 4/7 ÷ 1/12 | Student Answer: 7/1,a
Problem: 4/5 x 4 3/4 | Student Answer: 2 5/9,conv-a
Problem: 4/5 x 4 3/4 | Student Answer: 16/95,conv-b
Problem: 4/5 x 4 3/4 | Student Answer: 8 11/20,conv-c
Problem: 4/5 x 4 3/4 | Student Answer: -1 2/3,conv-d
Problem: 4/5 x 4 3/4 | Student Answer: -3 4/5,po-a
Problem: 4/5 x 4 3/4 | Student Answer: 5/19,po-b
Problem: 4/5 x 4 3/4 | Student Answer: -15/1,po-c
Problem: 4/5 x 4 3/4 | Student Answer: 1 3/20,po-d
Problem: 4/5 x 4 3/4 | Student Answer: 8 4/9,pf-a
Problem: 4/5 x 4 3/4 | Student Answer: 15 1/5,pf-b
Problem: 4/5 x 4 3/4 | Student Answer: 1 3/20,pf-c
Problem: 4/5 x 4 3/4 | Student Answer: 4/9,pf-d
Problem: 4/5 x 4 3/4 | Student Answer: 23/1,pf-e
Problem: 4/5 x 4 3/4 | Student Answer: 3 3/5,a
Problem: 10/16 + 5 6/16 | Student Answer: 5/8,conv-a
Problem: 10/16 + 5 6/16 | Student Answer: 16 1/10,conv-b
Problem: 10/16 + 5 6/16 | Student Answer: 8 47/64,conv-c
Problem: 10/16 + 5 6/16 | Student Answer: -2 3/8,conv-d
Problem: 10/16 + 5 6/16 | Student Answer: -6/1,po-a
Problem: 10/16 + 5 6/16 | Student Answer: 1/6,po-b
Problem: 10/16 + 5 6/16 | Student Answer: 3 23/64,po-c
Problem: 10/16 + 5 6/16 | Student Answer: 3/8,po-d
Problem: 10/16 + 5 6/16 | Student Answer: 96/1,pf-a
Problem: 10/16 + 5 6/16 | Student Answer: 6/1,pf-b
Problem: 10/16 + 5 6/16 | Student Answer: 5/86,pf-c
Problem: 10/16 + 5 6/16 | Student Answer: 6/1,pf-d
Problem: 10/16 + 5 6/16 | Student Answer: 96/1,pf-e
Problem: 10/16 + 5 6/16 | Student Answer: 3/1,a
Problem: 5 1/2 ÷ 1 2/5 | Student Answer: 2 4/7,conv-a
Problem: 5 1/2 ÷ 1 2/5 | Student Answer: 7 7/10,conv-b
Problem: 5 1/2 ÷ 1 2/5 | Student Answer: 9 1/10,conv-c
Problem: 5 1/2 ÷ 1 2/5 | Student Answer: 4/7,conv-d
Problem: 5 1/2 ÷ 1 2/5 | Student Answer: -3 13/14,po-a
Problem: 5 1/2 ÷ 1 2/5 | Student Answer: 14/55,po-b
Problem: 5 1/2 ÷ 1 2/5 | Student Answer: 2 4/7,po-c
Problem: 5 1/2 ÷ 1 2/5 | Student Answer: 3 13/14,po-d
Problem: 5 1/2 ÷ 1 2/5 | Student Answer: 11/1,pf-a
Problem: 5 1/2 ÷ 1 2/5 | Student Answer: 38 1/2,pf-b
Problem: 5 1/2 ÷ 1 2/5 | Student Answer: 1 4/5,pf-c
Problem: 5 1/2 ÷ 1 2/5 | Student Answer: 1 4/7,pf-d
Problem: 5 1/2 ÷ 1 2/5 | Student Answer: -6/1,pf-e
Problem: 5 1/2 ÷ 1 2/5 | Student Answer: 7 6/7,a
Problem: 5/6 + 1/15 | Student Answer: 4/7,conv-a
Problem: 5/6 + 1/15 | Student Answer: 1/15,conv-b
Problem: 5/6 + 1/15 | Student Answer: 4/7,conv-c
Problem: 5/6 + 1/15 | Student Answer: 4/21,conv-d
Problem: 5/6 + 1/15 | Student Answer: -9/10,po-a
Problem: 5/6 + 1/15 | Student Answer: 1 1/9,po-b
Problem: 5/6 + 1/15 | Student Answer: 1/18,po-c
Problem: 5/6 + 1/15 | Student Answer: 1/15,po-d
Problem: 5/6 + 1/15 | Student Answer: 2/7,pf-a
Problem: 5/6 + 1/15 | Student Answer: 1/1,pf-b
Problem: 5/6 + 1/15 | Student Answer: 5/21,pf-c
Problem: 5/6 + 1/15 | Student Answer: 5/6,pf-d
Problem: 5/6 + 1/15 | Student Answer: -2/3,pf-e
Problem: 5/6 + 1/15 | Student Answer: 9/11,a
Problem: 6/12 + 18/20 | Student Answer: 1 1/8,conv-a
Problem: 6/12 + 18/20 | Student Answer: 9/10,conv-b
Problem: 6/12 + 18/20 | Student Answer: 1 1/8,conv-c
Problem: 6/12 + 18/20 | Student Answer: -3/8,conv-d
Problem: 6/12 + 18/20 | Student Answer: -1 2/5,po-a
Problem: 6/12 + 18/20 | Student Answer: 5/7,po-b
Problem: 6/12 + 18/20 | Student Answer: 9/20,po-c
Problem: 6/12 + 18/20 | Student Answer: 1/10,po-d
Problem: 6/12 + 18/20 | Student Answer: -3/1,pf-a
Problem: 6/12 + 18/20 | Student Answer: 1 1/5,pf-b
Problem: 6/12 + 18/20 | Student Answer: 3 3/8,pf-c
Problem: 6/12 + 18/20 | Student Answer: 9/1,pf-d
Problem: 6/12 + 18/20 | Student Answer: -3/1,pf-e
Problem: 6/12 + 18/20 | Student Answer: 2 4/5,a
Problem: 5 4/14 ÷ 11/12 | Student Answer: 5 16/21,conv-a
Problem: 5 4/14 ÷ 11/12 | Student Answer: 4 71/84,conv-b
Problem: 5 4/14 ÷ 11/12 | Student Answer: 3 21/26,conv-c
Problem: 5 4/14 ÷ 11/12 | Student Answer: 2 11/26,conv-d
Problem: 5 4/14 ÷ 11/12 | Student Answer: -5 59/77,po-a
Problem: 5 4/14 ÷ 11/12 | Student Answer: 77/444,po-b
Problem: 5 4/14 ÷ 11/12 | Student Answer: 3 7/26,po-c
Problem: 5 4/14 ÷ 11/12 | Student Answer: 5 59/77,po-d
Problem: 5 4/14 ÷ 11/12 | Student Answer: 31 4/13,pf-a
Problem: 5 4/14 ÷ 11/12 | Student Answer: 58 1/7,pf-b
Problem: 5 4/14 ÷ 11/12 | Student Answer: 85/168,pf-c
Problem: 5 4/14 ÷ 11/12 | Student Answer: 2 11/13,pf-d
Problem: 5 4/14 ÷ 11/12 | Student Answer: 42 1/2,pf-e
Problem: 5 4/14 ÷ 11/12 | Student Answer: 11 41/77,a
Problem: 1/2 + 7/10 | Student Answer: 2/3,conv-a
Problem: 1/2 + 7/10 | Student Answer: 7/10,conv-b
Problem: 1/2 + 7/10 | Student Answer: 9/20,conv-c
Problem: 1/2 + 7/10 | Student Answer: -1/2,conv-d
Problem: 1/2 + 7/10 | Student Answer: -1 1/5,po-a
Problem: 1/2 + 7/10 | Student Answer: 5/6,po-b
Problem: 1/2 + 7/10 | Student Answer: 7/20,po-c
Problem: 1/2 + 7/10 | Student Answer: 2/5,po-d
Problem: 1/2 + 7/10 | Student Answer: 40/1,pf-a
Problem: 1/2 + 7/10 | Student Answer: 4/5,pf-b
Problem: 1/2 + 7/10 | Student Answer: 5/42,pf-c
Problem: 1/2 + 7/10 | Student Answer: -3/1,pf-d
Problem: 1/2 + 7/10 | Student Answer: -1/1,pf-e
Problem: 1/2 + 7/10 | Student Answer: 1/1,a
Problem: 2/5 - 6/7 | Student Answer: 2/5,conv-a
Problem: 2/5 - 6/7 | Student Answer: 2/5,conv-b
Problem: 2/5 - 6/7 | Student Answer: 16/35,conv-c
Problem: 2/5 - 6/7 | Student Answer: 2/1,conv-d
Problem: 2/5 - 6/7 | Student Answer: 16/35,po-a
Problem: 2/5 - 6/7 | Student Answer: -2 3/16,po-b
Problem: 2/5 - 6/7 | Student Answer: 12/35,po-c
Problem: 2/5 - 6/7 | Student Answer: 8/35,po-d
Problem: 2/5 - 6/7 | Student Answer: 2/3,pf-a
Problem: 2/5 - 6/7 | Student Answer: 1 1/7,pf-b
Problem: 2/5 - 6/7 | Student Answer: 1/1,pf-c
Problem: 2/5 - 6/7 | Student Answer: -4/5,pf-d
Problem: 2/5 - 6/7 | Student Answer: -4/35,pf-e
Problem: 2/5 - 6/7 | Student Answer: -3/7,a
Problem: 3 1/2 ÷ 1/7 | Student Answer: 3 1/2,conv-a
Problem: 3 1/2 ÷ 1/7 | Student Answer: 1/2,conv-b
Problem: 3 1/2 ÷ 1/7 | Student Answer: 9/14,conv-c
Problem: 3 1/2 ÷ 1/7 | Student Answer: 2/3,conv-d
Problem: 3 1/2 ÷ 1/7 | Student Answer: -24 1/2,po-a
Problem: 3 1/2 ÷ 1/7 | Student Answer: 2/49,po-b
Problem: 3 1/2 ÷ 1/7 | Student Answer: 8/9,po-c
Problem: 3 1/2 ÷ 1/7 | Student Answer: 24 1/2,po-d
Problem: 3 1/2 ÷ 1/7 | Student Answer: 7/9,pf-a
Problem: 3 1/2 ÷ 1/7 | Student Answer: 3 1/2,pf-b
Problem: 3 1/2 ÷ 1/7 | Student Answer: 4/7,pf-c
Problem: 3 1/2 ÷ 1/7 | Student Answer: 7/9,pf-d
Problem: 3 1/2 ÷ 1/7 | Student Answer: -1 3/5,pf-e
Problem: 3 1/2 ÷ 1/7 | Student Answer: 49/1,a
Problem: 12/15 + 2/3 | Student Answer: 8/15,conv-a
Problem: 12/15 + 2/3 | Student Answer: 15 1/12,conv-b
Problem: 12/15 + 2/3 | Student Answer: 1 11/18,conv-c
Problem: 12/15 + 2/3 | Student Answer: 5/9,conv-d
Problem: 12/15 + 2/3 | Student Answer: -1 7/15,po-a
Problem: 12/15 + 2/3 | Student Answer: 15/22,po-b
Problem: 12/15 + 2/3 | Student Answer: 8/15,po-c
Problem: 12/15 + 2/3 | Student Answer: 14/45,po-d
Problem: 12/15 + 2/3 | Student Answer: 2 4/5,pf-a
Problem: 12/15 + 2/3 | Student Answer: 14/15,pf-b
Problem: 12/15 + 2/3 | Student Answer: 1/1,pf-c
Problem: 12/15 + 2/3 | Student Answer: 4 2/3,pf-d
Problem: 12/15 + 2/3 | Student Answer: 1 1/6,pf-e
Problem: 12/15 + 2/3 | Student Answer: 2 14/15,a
Problem: 13/15 x 4/12 | Student Answer: 13/45,conv-a
Problem: 13/15 x 4/12 | Student Answer: 2 3/5,conv-b
Problem: 13/15 x 4/12 | Student Answer: 1 5/27,conv-c
Problem: 13/15 x 4/12 | Student Answer: 1/3,conv-d
Problem: 13/15 x 4/12 | Student Answer: -13/45,po-a
Problem: 13/15 x 4/12 | Student Answer: 3 6/13,po-b
Problem: 13/15 x 4/12 | Student Answer: 3/1,po-c
Problem: 13/15 x 4/12 | Student Answer: 17/180,po-d
Problem: 13/15 x 4/12 | Student Answer: 1 25/27,pf-a
Problem: 13/15 x 4/12 | Student Answer: 3 7/15,pf-b
Problem: 13/15 x 4/12 | Student Answer: 17/180,pf-c
Problem: 13/15 x 4/12 | Student Answer: 13/27,pf-d
Problem: 13/15 x 4/12 | Student Answer: 5 2/3,pf-e
Problem: 13/15 x 4/12 | Student Answer: 4/15,a
Problem: 9/10 ÷ 1/13 | Student Answer: 9/130,conv-a
Problem: 9/10 ÷ 1/13 | Student Answer: 9/130,conv-b
Problem: 9/10 ÷ 1/13 | Student Answer: 7/10,conv-c
Problem: 9/10 ÷ 1/13 | Student Answer: 8/23,conv-d
Problem: 9/10 ÷ 1/13 | Student Answer: -11 7/10,po-a
Problem: 9/10 ÷ 1/13 | Student Answer: 10/117,po-b
Problem: 9/10 ÷ 1/13 | Student Answer: 10/23,po-c
Problem: 9/10 ÷ 1/13 | Student Answer: 11 7/10,po-d
Problem: 9/10 ÷ 1/13 | Student Answer: 9/23,pf-a
Problem: 9/10 ÷ 1/13 | Student Answer: 9/10,pf-b
Problem: 9/10 ÷ 1/13 | Student Answer: 1/13,pf-c
Problem: 9/10 ÷ 1/13 | Student Answer: 9/23,pf-d
Problem: 9/10 ÷ 1/13 | Student Answer: -3 1/3,pf-e
Problem: 9/10 ÷ 1/13 | Student Answer: 11 3/5,a
Problem: 4/18 - 1/2 | Student Answer: 1/9,conv-a
Problem: 4/18 - 1/2 | Student Answer: 2/9,conv-b
Problem: 4/18 - 1/2 | Student Answer: 11/18,conv-c
Problem: 4/18 - 1/2 | Student Answer: 3/16,conv-d
Problem: 4/18 - 1/2 | Student Answer: 5/18,po-a
Problem: 4/18 - 1/2 | Student Answer: -3 3/5,po-b
Problem: 4/18 - 1/2 | Student Answer: 1/9,po-c
Problem: 4/18 - 1/2 | Student Answer: 5/36,po-d
Problem: 4/18 - 1/2 | Student Answer: 5/9,pf-a
Problem: 4/18 - 1/2 | Student Answer: 5/18,pf-b
Problem: 4/18 - 1/2 | Student Answer: 3/20,pf-c
Problem: 4/18 - 1/2 | Student Answer: 2/9,pf-d
Problem: 4/18 - 1/2 | Student Answer: 1/12,pf-e
Problem: 4/18 - 1/2 | Student Answer: -5/9,a
Problem: 4 6/16 ÷ 3 10/17 | Student Answer: 4 3/8,conv-a
Problem: 4 6/16 ÷ 3 10/17 | Student Answer: 15 95/136,conv-b
Problem: 4 6/16 ÷ 3 10/17 | Student Answer: 4 5/11,conv-c
Problem: 4 6/16 ÷ 3 10/17 | Student Answer: 3/11,conv-d
Problem: 4 6/16 ÷ 3 10/17 | Student Answer: -1 107/488,po-a
Problem: 4 6/16 ÷ 3 10/17 | Student Answer: 488/595,po-b
Problem: 4 6/16 ÷ 3 10/17 | Student Answer: 3 32/33,po-c
Problem: 4 6/16 ÷ 3 10/17 | Student Answer: 1 107/488,po-d
Problem: 4 6/16 ÷ 3 10/17 | Student Answer: 129 13/33,pf-a
Problem: 4 6/16 ÷ 3 10/17 | Student Answer: 266 7/8,pf-b
Problem: 4 6/16 ÷ 3 10/17 | Student Answer: 131/272,pf-c
Problem: 4 6/16 ÷ 3 10/17 | Student Answer: 2 4/33,pf-d
Problem: 4 6/16 ÷ 3 10/17 | Student Answer: -131/1,pf-e
Problem: 4 6/16 ÷ 3 10/17 | Student Answer: 1 53/244,a
Problem: 4/7 - 8/18 | Student Answer: 44/63,conv-a
Problem: 4/7 - 8/18 | Student Answer: 7 1/4,conv-b
Problem: 4/7 - 8/18 | Student Answer: 19/25,conv-c
Problem: 4/7 - 8/18 | Student Answer: 4/11,conv-d
Problem: 4/7 - 8/18 | Student Answer: -8/63,po-a
Problem: 4/7 - 8/18 | Student Answer: 7 7/8,po-b
Problem: 4/7 - 8/18 | Student Answer: 16/63,po-c
Problem: 4/7 - 8/18 | Student Answer: 2/21,po-d
Problem: 4/7 - 8/18 | Student Answer: 30 6/7,pf-a
Problem: 4/7 - 8/18 | Student Answer: 2/3,pf-b
Problem: 4/7 - 8/18 | Student Answer: 9/25,pf-c
Problem: 4/7 - 8/18 | Student Answer: 4 4/7,pf-d
Problem: 4/7 - 8/18 | Student Answer: -2/63,pf-e
Problem: 4/7 - 8/18 | Student Answer: 1/9,a
Problem: 11/14 + 2/4 | Student Answer: 11/14,conv-a
Problem: 11/14 + 2/4 | Student Answer: 14 1/11,conv-b
Problem: 11/14 + 2/4 | Student Answer: 25/28,conv-c
Problem: 11/14 + 2/4 | Student Answer: 1/2,conv-d
Problem: 11/14 + 2/4 | Student Answer: -1 2/7,po-a
Problem: 11/14 + 2/4 | Student Answer: 7/9,po-b
Problem: 11/14 + 2/4 | Student Answer: 11/28,po-c
Problem: 11/14 + 2/4 | Student Answer: 13/56,po-d
Problem: 11/14 + 2/4 | Student Answer: 13/18,pf-a
Problem: 11/14 + 2/4 | Student Answer: 3 1/4,pf-b
Problem: 11/14 + 2/4 | Student Answer: 1/2,pf-c
Problem: 11/14 + 2/4 | Student Answer: 3 1/4,pf-d
Problem: 11/14 + 2/4 | Student Answer: 1 3/10,pf-e
Problem: 11/14 + 2/4 | Student Answer: 1 1/7,a
Problem: 2 1/19 ÷ 4/7 | Student Answer: 2 1/19,conv-a
Problem: 2 1/19 ÷ 4/7 | Student Answer: 1 23/133,conv-b
Problem: 2 1/19 ÷ 4/7 | Student Answer: 2 5/13,conv-c
Problem: 2 1/19 ÷ 4/7 | Student Answer: 1 9/26,conv-d
Problem: 2 1/19 ÷ 4/7 | Student Answer: -3 45/76,po-a
Problem: 2 1/19 ÷ 4/7 | Student Answer: 76/273,po-b
Problem: 2 1/19 ÷ 4/7 | Student Answer: 1 17/26,po-c
Problem: 2 1/19 ÷ 4/7 | Student Answer: 3 45/76,po-d
Problem: 2 1/19 ÷ 4/7 | Student Answer: 6/1,pf-a
Problem: 2 1/19 ÷ 4/7 | Student Answer: 8 4/19,pf-b
Problem: 2 1/19 ÷ 4/7 | Student Answer: 43/133,pf-c
Problem: 2 1/19 ÷ 4/7 | Student Answer: 1 1/2,pf-d
Problem: 2 1/19 ÷ 4/7 | Student Answer: 3 7/12,pf-e
Problem: 2 1/19 ÷ 4/7 | Student Answer: 3 23/38,a
Problem: 4 16/17 x 15/17 | Student Answer: 4 104/289,conv-a
Problem: 4 16/17 x 15/17 | Student Answer: 5 3/5,conv-b
Problem: 4 16/17 x 15/17 | Student Answer: 3 7/17,conv-c
Problem: 4 16/17 x 15/17 | Student Answer: 2 1/34,conv-d
Problem: 4 16/17 x 15/17 | Student Answer: -4 104/289,po-a
Problem: 4 16/17 x 15/17 | Student Answer: 289/1260,po-b
Problem: 4 16/17 x 15/17 | Student Answer: 69/1,po-c
Problem: 4 16/17 x 15/17 | Student Answer: 99/289,po-d
